product_no,product_url,product_name,category,sub_category,price,fabric,fit_type,size_range,recommended_body_type,body_cover_features,style_tags,season,length_type,sleeve_type,color_options,recommended_age,coordination_items,product_summary,shoulder,chest,chest_measure_type,armhole,sleeve,sleeve_circumference,length,length_front,length_back,measurement_source,raw_measurements
27326,https://www.misharp.co.kr/product/detail.html?product_no=27326,보들 스퀘어 실크 스카프,,,21500,,,,4050 여성 일반체형,,데일리,,기본,긴팔,브라운,4050,데님,"미샵 - 보들 스퀘어 실크 스카프 (2 color) 보들 스퀘어 실크 스카프 (2 color) (해외배송 가능상품) ( 건) 보들 스퀘어 실크 스카프 (2 color) 23,800원 21,500원 남은시간 2일 21:48:24 (2,300원 할인) 2026-04-27 12:00 ~ 2026-04-30 12:00 210원 (1%) 재입고 알림 SMS 상품 옵션 컬러 - [필수] 옵션을 선택해",,,,,,,,,,,
20009,https://www.misharp.co.kr/product/detail.html?product_no=20009,내추럴 린넨 와이어 햇,,,27800,,,,4050 여성 일반체형,,데일리,여름,기본,긴팔,베이지,4050,데님,와이어 내장으로 휴대하기에도 좋아요.,,,,,,,,,,,
28580,https://www.misharp.co.kr/product/detail.html?product_no=28580,미샵 레이 슬리밍 티셔츠 _ 2 / 사이즈별,블라우스/셔츠,셔츠,31100,면35%와 폴리에스터58%를 혼방하여 면 특유의 쾌적함은 살리되 / 폴리에스터58%를 혼방하여 면 특유의 쾌적함은 살리되,,66-66반,어깨좁음;복부체형,뱃살커버;허리라인보정,데일리;오피스룩,겨울,롱,긴팔,블랙;화이트;아이보리,4050,슬랙스;데님;스커트,★ 제작 상의 55 ★ 【미샵제작 슬림T 시리즈_2】,40,45,circumference,44,58,,,,,text,"[{""어깨단면"": ""40""}, {""암홀둘레"": ""44""}, {""소매길이"": ""58""}, {""가슴둘레"": ""90""}]"
28599,https://www.misharp.co.kr/product/detail.html?product_no=28599,2타입 컬러 코튼 팬츠_2탄,팬츠,팬츠,29300,코튼 100% 원단으로 제작되어 피부에 닿는 촉감이 깔끔하고 편안합니다,루즈핏,44-88,복부체형;하체통통,힙커버,클래식;데일리,겨울,롱,긴팔,블랙;화이트,4050,슬랙스;데님,"미샵 - 2타입 컬러 코튼 팬츠_2탄 (2 color) 2타입 컬러 코튼 팬츠_2탄 (2 color) (해외배송 가능상품) ( 건) 2타입 컬러 코튼 팬츠_2탄 (2 color) 32,500원 29,300원 남은시간 2일 21:48:19 (3,200원 할인) 2026-04-27 12:00 ~ 2026-04-30 12:00 290원 (1%) 재입고 알림 SMS 상품 옵션 컬러 - [필수] 옵션",,,,,,,,,,,
22091,https://www.misharp.co.kr/product/detail.html?product_no=22091,매그 S 435 슬랙스,팬츠,슬랙스,33200,,,55-88,복부체형;하체통통,힙커버;허리라인보정,데일리;오피스룩,봄;겨울,기본,긴팔,블랙;베이지,4050,슬랙스;데님,★ SS제작 팬츠 135 ★,,,,,,,,,,,
28597,https://www.misharp.co.kr/product/detail.html?product_no=28597,파스텔 배색 브이넥 스트라이프 니트,니트/가디건,니트,26900,비스코스 52% 혼용으로 맨살에 닿는 촉감이 마치 실크처럼 부드럽고 쾌적합니다,세미루즈,55-66반,어깨좁음;팔뚝통통;복부체형,팔뚝커버;허리라인보정,데일리;오피스룩;모임룩,봄;가을;간절기,기본,긴팔,아이보리;베이지;핑크,4050,슬랙스;데님;니트,"미샵 - 파스텔 배색 브이넥 스트라이프 니트 (2 color) 파스텔 배색 브이넥 스트라이프 니트 (2 color) (해외배송 가능상품) ( 건) 파스텔 배색 브이넥 스트라이프 니트 (2 color) 29,800원 26,900원 남은시간 2일 21:48:16 (2,900원 할인) 2026-04-27 12:00 ~ 2026-04-30 12:00 260원 (1%) 재입고 알림 SMS 상품 옵션",47,47,circumference,39,59,,,,,text,"[{""어깨단면"": ""47""}, {""암홀둘레"": ""39""}, {""소매길이"": ""59""}, {""가슴둘레"": ""94""}]"
28594,https://www.misharp.co.kr/product/detail.html?product_no=28594,살랑 미세 플리츠 밴딩 스커트,원피스/스커트,스커트,25700,폴리에스터100% 소재입니다,,55-66,복부체형;하체통통,힙커버;허리라인보정,클래식;데일리,,롱,긴팔,화이트;아이보리,4050,데님;스커트,"미샵 - 살랑 미세 플리츠 밴딩 스커트 (2 color) 살랑 미세 플리츠 밴딩 스커트 (2 color) (해외배송 가능상품) ( 건) 살랑 미세 플리츠 밴딩 스커트 (2 color) 28,500원 25,700원 남은시간 2일 21:48:14 (2,800원 할인) 2026-04-27 12:00 ~ 2026-04-30 12:00 250원 (1%) 재입고 알림 SMS 상품 옵션 컬러 - [필수]",,,,,,,,,,,
24797,https://www.misharp.co.kr/product/detail.html?product_no=24797,멀린 7부 절개 티셔츠,블라우스/셔츠,셔츠,17900,,,55-66반,어깨좁음,허리라인보정,데일리;오피스룩,겨울,기본,긴팔,블랙;화이트;베이지,4050,데님,"미샵 - 멀린 7부 절개 티셔츠 (5 color) 멀린 7부 절개 티셔츠 (5 color) (해외배송 가능상품) ( 건) 멀린 7부 절개 티셔츠 (5 color) 19,800원 17,900원 남은시간 2일 21:48:13 (1,900원 할인) 2026-04-27 12:00 ~ 2026-04-30 12:00 170원 (1%) 재입고 알림 SMS 상품 옵션 컬러 - [필수] 옵션을 선택해 주세요",36,46,circumference,38,39.5,,,,,text,"[{""어깨단면"": ""36""}, {""암홀둘레"": ""38""}, {""소매길이"": ""39.5""}, {""가슴둘레"": ""92""}]"
23442,https://www.misharp.co.kr/product/detail.html?product_no=23442,드올 자켓,아우터,자켓,101600,,,55-77,어깨좁음,허리라인보정,클래식;데일리,봄;여름;가을,기본,반팔,블랙;베이지,4050,데님,【최고급 트윌직 브랜드 납품】,39,50,circumference,,58,,,,,text,"[{""어깨단면"": ""39""}, {""소매길이"": ""58""}, {""가슴둘레"": ""100""}]"
28596,https://www.misharp.co.kr/product/detail.html?product_no=28596,프레임 실크 필링 머플러,,,13400,,,,4050 여성 일반체형,허리라인보정,데일리,봄;가을;겨울,기본,긴팔,블랙;아이보리,4050,데님,"미샵 - 프레임 실크 필링 머플러 (2 color) 프레임 실크 필링 머플러 (2 color) (해외배송 가능상품) ( 건) 프레임 실크 필링 머플러 (2 color) 14,800원 13,400원 남은시간 2일 21:48:09 (1,400원 할인) 2026-04-27 12:00 ~ 2026-04-30 12:00 130원 (1%) 재입고 알림 SMS 상품 옵션 컬러 - [필수] 옵션을 선택해",,,,,,,,,,,
28591,https://www.misharp.co.kr/product/detail.html?product_no=28591,배색 가죽 카라 워싱 자켓,아우터,자켓,69800,면 97%에 스판 3%가 혼용된 고퀄리티 데님 원단입니다 / 스판 3%가 혼용된 고퀄리티 데님 원단입니다,루즈핏,55-77,어깨좁음;하체통통,뱃살커버;힙커버;허리라인보정,클래식;데일리;오피스룩,,기본,긴팔,블랙;베이지,4050,슬랙스;데님;스커트;니트,"미샵 - 배색 가죽 카라 워싱 자켓 (2 color) 배색 가죽 카라 워싱 자켓 (2 color) (해외배송 가능상품) ( 건) 배색 가죽 카라 워싱 자켓 (2 color) 69,800원 690원 (1%) 재입고 알림 SMS 상품 옵션 컬러 - [필수] 옵션을 선택해 주세요 - ------------------- 베이지 진청 옵션선택 상품 목록 상품명 상품수 가격 배색 가죽 카라 워싱 자켓",52,60,circumference,49,56.5,,,,,text,"[{""어깨단면"": ""52""}, {""암홀둘레"": ""49""}, {""소매길이"": ""56.5""}, {""가슴둘레"": ""120""}]"
28592,https://www.misharp.co.kr/product/detail.html?product_no=28592,마법 보정 속밴딩 부츠컷 슬랙스,팬츠,슬랙스,41300,폴리에스터90% 스판10% 혼용 소재입니다 / 스판10% 혼용 소재입니다,,55-99,복부체형;하체통통,뱃살커버;힙커버;허리라인보정,클래식;데일리;오피스룩;학모룩,,기본,긴팔,블랙;베이지,4050,슬랙스;데님,"미샵 - 마법 보정 속밴딩 부츠컷 슬랙스 (3 color) 마법 보정 속밴딩 부츠컷 슬랙스 (3 color) (해외배송 가능상품) ( 건) 마법 보정 속밴딩 부츠컷 슬랙스 (3 color) 45,800원 41,300원 남은시간 2일 21:48:06 (4,500원 할인) 2026-04-27 12:00 ~ 2026-04-30 12:00 410원 (1%) 재입고 알림 SMS 상품 옵션 컬러 - [",,,,,,,,,,,
28571,https://www.misharp.co.kr/product/detail.html?product_no=28571,뮤트 무드 7부 카라 니트,니트/가디건,니트,26900,,,55-66반,어깨좁음;팔뚝통통,팔뚝커버;뱃살커버;허리라인보정,데일리;오피스룩,,크롭,퍼프소매,블랙;화이트;베이지;소라,4050,슬랙스;데님;스커트;니트,"미샵 - 뮤트 무드 7부 카라 니트 (3 color) 뮤트 무드 7부 카라 니트 (3 color) (해외배송 가능상품) ( 건) 뮤트 무드 7부 카라 니트 (3 color) 29,800원 26,900원 남은시간 2일 21:48:04 (2,900원 할인) 2026-04-27 12:00 ~ 2026-04-30 12:00 260원 (1%) 재입고 알림 SMS 상품 옵션 컬러 - [필수] 옵션을 선",36,49,circumference,44,39,,,,,text,"[{""어깨단면"": ""36""}, {""암홀둘레"": ""44""}, {""소매길이"": ""39""}, {""가슴둘레"": ""98""}]"
